country,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Albania,,,,,,,,,,,,,,,,,,21.2,,,,,,25.4,,,24.3,,,24.5,,,,22.9,,,,,
Algeria,,,,,,,,,,32.8,,,,,,,26.9,,,,,,,,,,,,,,,,22.9,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,40.2,,,,,,,,32.3,,,,,,,,,
Argentina,,30.2,,,,,,32.4,34.4,,,,36.6,34.3,33.2,34.4,37,36.9,36.4,38,37,37.7,39.5,40.5,37.1,34.7,34.6,33.6,33.4,31.6,31.1,31,30.6,29.4,29.3,29.5,,30.9,
Armenia,,,,,,,,,,,,,,,,,,,,,29.6,,29.1,29,28.2,31.7,30.8,24.5,25.1,23.7,22.9,25,24,24.5,24.7,25.7,26.7,25.3,
Australia,,,23.3,,,,24.3,,,,24.7,,,,,,24.6,,,,,,25.1,,25.1,,,,,27.4,,26.4,,,,,,,
Austria,,,,,,,,,,,,,,,,,,,,,,,,,23.4,23.8,22.8,23.7,23.8,24.1,24.7,23.5,23.7,23.4,24.2,24,23.8,,
Azerbaijan,,,,,,,,,,,,,,,,,26.8,,,,,,29.5,17.6,18,17.1,17.4,,,,,,,,,,,,
Bangladesh,,,,,21.9,,23.4,,,24.6,,,23.3,,,,28.1,,,,,27.9,,,,,28,,,,,26.9,,,,,,26.8,
Belarus,,,,,,,,,,,,,,,,,,,,24.9,24,24,24,24,22.6,21.4,21.8,22.4,23.6,22.3,22.6,22.9,21.9,21.8,22.1,22.6,22.2,22.9,
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,22.2,25.1,23.9,22.4,23.5,22.7,22.7,22.7,22.3,21.9,21.8,22.4,22.2,,
Belize,,,,,,,,,,,,,,,51.1,52.5,,46.5,50.3,43.7,42.4,,,,,,,,,,,,,,,,,,
Benin,,,,,,,,,,,,,,,,,,,,,,,,,31.1,,,,,,,,34.5,,,,37.6,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,32.2,,,,29.4,,,,,30.7,,,,,27.9
Bolivia,,,,,,,,,,,,31.7,,,,,,,45.4,,42.6,47.8,44.2,46.6,,43.9,45.3,43.6,41.8,38.5,36.9,,33.7,33.7,35.2,36,34.8,32.1,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,24.8,,,26.4,,,25.1,,,,25.1,,,,25.1,,
Botswana,,,,,,,42.9,,,,,,,,51.2,,,,,,,,,53.1,,,,,,,49.6,,,,,,,,
Brazil,,,45.9,46.2,46.8,46.5,42.5,46.6,47.4,49.2,51.1,48.1,,39.7,48.4,,47.5,47.4,47.4,47.6,47,,46.1,46.1,45.4,44.5,44.6,44.1,43.2,42.5,42.2,,41.7,41.6,41.7,40.6,40.4,,
Bulgaria,,,,,,,,,,,,,,24.7,,,,,,,,,,,,,,26.5,27.9,25.6,25.7,26.9,26,27.4,27.5,28.8,,,
Burkina Faso,,,,,,,,,,,,,,,,39.5,,,,42.7,,,,,33.8,,,,,,32,,,,,29.6,,,
Burundi,,,,,,,,,,,,,,26.6,,,,,,32.7,,,,,,,,28,,,,,,,31,,,,
Cameroon,,,,,,,,,,,,,,,,,,36.2,,,,,33.6,,,,,,33,,,,,,,35,,,
Canada,,,24.3,,,,,,23.8,,,,23.6,,,23.6,,,23.8,25.3,,25.5,,,,25.6,,,26,,,25.7,,,25.3,,,,
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,42.6,,,,,,37.1,,,,,,,,,,
Central African Republic,,,,,,,,,,,,,,47.7,,,,,,,,,,,33,,,,,46.2,,,,,,,,,
Chad,,,,,,,,,,,,,,,,,,,,,,,,,30.7,,,,,,,,32.4,,,,,,
Chile,,,,,,,,,45.4,,,47.1,,45.2,,45.9,,44.4,,45,,42.6,,,41.4,,,38.4,,,39.7,,38.5,,38.4,,38,,
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.8,,,,31.4,,,,,
Colombia,,,,,,,,,,,,,,40.5,,,,45.6,,,46.9,47,45.8,44.8,42.4,44.2,42.8,,,43.7,43.1,43.5,42.4,41.4,41.6,41.6,40,40,
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,48.1,,,,,,,,,33.7,,,,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,32.4,,,,,,,,32,,,,,
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,36.9,,,,,,37.9,,,,,,
Costa Rica,,,33.7,,,,,23.1,,,33.7,33,34.3,33.7,33.7,35.3,33.8,34.3,33.8,34,35.9,35.7,39.8,40.5,37,36.5,35.8,38.5,38.9,37.7,39.4,37.1,37.1,37,37.4,36.9,36.8,37.3,
Cote d'Ivoire,,,,,,,35.6,29.5,32,28.3,,,,29.5,,,32.8,,,30.1,,,,32.7,,,,,,32.6,,,,,,,31.9,,
Croatia,,,,,,,,,,19.5,,,,,,,,,,,,,,,,,,,,,24.2,23.9,23.7,23.8,23.7,23.9,23.2,,
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,24.3,24.8,26,25.4,26.2,26.2,25.7,26.7,28,30.8,28.8,27.4,,
Czech Republic,,,,,,,,,,,,,,,23.6,,,22.7,,,,,,,,23.1,22.9,22.6,22.3,22.9,22.3,22.4,22.2,22.1,22.6,22.1,22.1,,
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,21.4,20.6,20.9,21.7,22.1,21,21.8,22.5,22.7,23.1,23.7,23.5,23.8,,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,30.8,,,,,,,,,,34.4,34.1,,,,
Dominican Republic,,,,,,,,36.1,,,39.8,,,41.9,,,,36.5,37.9,,,40.6,39.5,38.5,41.6,41.6,39,41.1,38.4,37.5,38.4,36.2,37.2,35.6,37.4,33.3,34.5,35,
Ecuador,,,,,,,,,38.4,,,,,,,42.5,,,,37.9,47.9,45.9,,,41.9,42.4,41.2,41.1,42,38.1,37.1,37.5,34.1,34.6,35.7,34.4,34.9,34.3,
Egypt,,,,,,,,,,,,26.7,,,,,26,,,,28.3,,,,,27.4,,,,27,,27.3,,26,,,27.8,,
El Salvador,,,,,,,,,,,,,41.4,,,,38.8,39.4,,40.5,38.6,39,38.6,38.8,37.2,35.6,36.8,35.6,35.7,36.1,36,33.2,32.8,32.6,34.2,32.2,31.8,30.7,
Estonia,,,,,,,,,,,,,,,31.3,,,,,,,,,,28.4,25.9,26.1,26.8,24,24.9,24.4,24.3,24.7,25.2,26.6,26.2,24.4,,
Ethiopia,,,,,,,,,,,,,,,,,38,,,,25.5,,,,,25.6,,,,,,27.4,,,,,31.4,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,29.6,,,,,,32.9,,,,,29.7,,,,
Finland,,,,,,,,,,,,,,,,,,,,,,,,,23,23.2,23,23,23.3,22.9,22.6,22.5,22.7,22.3,22.2,22,22.4,,
France,,,,,,,,,,,,,,,,,,,,,,,,,25.1,24.5,23.9,23.5,26.2,26.7,26.1,27.1,26.9,26.8,26.4,26.1,26.6,,
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,33.1,,,,,,,,,,,,27.7
Gambia,,,,,,,,,,,,,,,,,,,,37.7,,,,,36.9,,,,,,,34.9,,,,,28.7,,
Georgia,,,,,,,,,,,,,,,,,,27.9,29.9,31.2,29.9,30.3,30,28.2,27.1,26.7,27.6,27.4,28.9,28.6,28.7,30,29.7,29.2,29,28.4,27.8,28.1,
Germany,,,,,,,,,,,,,22.9,,,23.1,,,,,,23,24.2,,,24.2,,24.9,25.2,,,24,24.3,,24.6,,24.8,,
Ghana,,,,,,,,,27.3,28.1,,,30.1,,,,,,,29.6,,,,,,,32.7,,,,,,,31.7,,,,,
Greece,,,,,,,,,,,,,,,,,,,,,,,,,24.6,25.5,26.3,26.7,26,26,26,25.6,25.6,26.6,26.4,26.1,26.2,,
Guatemala,,,,,,,,46.7,,,46.8,,,,,,,,,,,44,,,,,,43.2,,,,,,,,38.1,,,
Guinea,,,,,,,,,,,,,31.7,,,36,,,,,,,,34,,,,,30.1,,,,,26.4,,,,,
Guinea-Bissau,,,,,,,,,,,,,,,34.4,,,,,,,,,28.1,,,,,,,,42,,,,,,,
Guyana,,,,,,,,,,,,,,,,,,,,34.1,,,,,,,,,,,,,,,,,,,
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.2,,,,,
Honduras,,,,,,,,,,,48.2,45.5,40.8,41.4,42.8,43.5,43.8,43.7,41.4,44.6,41.9,,41.6,42.7,45.1,44.9,46.1,44,43.1,43,38.4,40.2,44.3,44.1,40.2,38.1,37,36.8,
Hungary,,,,,,,,,19,,21.6,,,,24.2,,,,,,,,,,,24.2,28,22.8,22.3,22,21.5,23.1,23.1,23.9,24.4,24,23.8,,
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,22.6,23.7,24.3,25.4,24.8,27,24,22,22.1,22.1,21.3,23.5,,,
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.8,,,,,,
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.9,,,,
Iran,,,,,,,,36.9,,,,33.5,,,,33.3,,,,33.7,,,,,,,33.3,34,,,31.3,,,,29,29.8,,,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.6,,,,,,23.7,,,,,
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,25.9,26.6,26.9,25.6,25.5,24.5,25.5,24.9,25.5,25.9,26,24.9,25.4,,
Israel,26.9,,,,,,,26.9,,,,,,26.9,,,,,28.2,,,,28.7,,,,29.9,,29.4,,,31.1,,29.6,,,,,
Italy,,,,,,,,,,,,,,,,,,,,,,,,,26.7,26.3,25.5,25.6,24.9,25.6,25.4,26.1,26.4,26.4,25.9,25.5,25.7,,
Jamaica,,,,,,,,,,33.7,,32.1,,,27.4,,,32.7,,,35,,,38,,35.8,,,,,,,,,,,,,
Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.7,,,,,,,,,
Jordan,,,,,,,,28.1,,,,,,35,,,,,29.8,,,,,29.5,,,,27.5,,26.6,,27.5,,,,,,,
Kazakhstan,,,,,,,,,,,,,,,,,,26.3,,,,,27.2,26.8,25.9,25.2,29.7,24.9,24.6,23.6,23.1,23.1,23,22.9,22.5,22.6,22.6,,
Kenya,,,,,,,,,,,,,,47.9,,33.4,,,36.3,,,,,,,,36.8,,,,,,,,,,31.6,,
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.3,,,,,,,,,,,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,35.3,,24.8,23.9,24,23.3,27.2,26.2,29.4,26.5,25.3,24.6,24.6,23.5,23.1,23.8,22.9,24.8,22.9,
Lao,,,,,,,,,,,,,,28.1,,,,,29.1,,,,,27,,,,,29.3,,,,,29.8,,,,,
Latvia,,,,,,,,,,,,,,,22.1,,25.1,25.7,,,,,,,,28.5,30,26.8,28.2,27.7,26.8,26.2,27.3,26.5,26.8,26.6,26.1,,
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.8,,,,,,
Lesotho,,,,,,,,43.6,,,,,,,,48.3,,,,,,,,38.3,,,,,,,,40.9,,,,,,,
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.3,,,,,,,26,,,
Lithuania,,,,,,,,,,,,,,,28,,,,,,,,,,,27.8,27.1,26.8,26.7,27.6,27.6,24.8,24.5,26.8,27.1,28.9,28.6,,
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,23.6,23.7,24.3,24.3,25,25.7,24.1,23.7,24.4,26.3,24.2,24.3,25.4,,
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.7,27.1,27.1,26.7,25.6,25,,,
Madagascar,,37,,,,,,,,,,,,,37,,,,30.1,,28.9,,36.6,,,,32.4,,,,,34.3,,33.5,,,,,
Malawi,,,,,,,,,,,,,,,,,,,61.5,,,,,,,32.8,,,,,,36.9,,,,,,,
Malaysia,,,,,,38.5,,,36.9,,36.4,,,37,,,37.9,,38.4,,,,,,,34.7,,,34.7,34.2,,,33.2,,31.8,,31.3,,
Maldives,,,,,,,,,,,,,,,,,,,,,,,,34.8,,,,,,,29.9,,,,,,,,
Mali,,,,,,,,,,,,,,,,40.4,,,,,,,30.1,,,,,30.2,,,25.7,,,,,,,,
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,22.6,22.5,23.7,22.7,23.2,23.4,23.1,23.3,23.6,,
Mauritania,,,,,,,,,32,,,,,,42.5,,28.7,,,,,29.5,,,,32.6,,,,26.2,,,,,,24.9,,,
Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7,,,,,,29,,,,,
Mexico,,,,,,37,,,,,,,,38.5,,39.8,,37.8,,37.7,,41,,38.9,,38.4,38.9,38,,35.2,,35.8,,36.1,,37.2,,34.8,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,32.5,,,,,,,,29.7,,,,
Moldova,,,,,,,,,,,,,,,,,,,28.1,30.1,34.4,28.5,29.8,27.5,27.7,27.7,28.5,27.4,26.8,27.1,25,25.4,24.5,23.6,23.3,22.1,22.5,22.7,
Mongolia,,,,,,,,,,,,,,,,,25,,,22.9,,,,24.6,,,,,27.8,,,25.7,26.6,26.2,,25.5,,25.6,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,24,23.2,24.5,24.5,24.9,22.6,24.7,24.5,24.9,25.7,,,
Morocco,,,,,,31.8,,,,,,30.5,,,,,,,,31.1,,32.1,,,,,,33.1,,,,,,,31.9,,,,
Mozambique,,,,,,,,,,,,,,,,,,43.8,,,,,,39.4,,,,,,36.8,,,,,,45.5,,,
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.7,,
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,54.8,,,,,,51.8,,,,,,47.3,,
Nepal,,,,,,,,,,,,,,,,,29,,,,,,,,36.9,,,,,,,26.4,,,,,,,
Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,23.7,23.4,24.7,24.1,23.7,22.4,22.4,22.6,22.5,22.7,23.3,23,,
Nicaragua,,,,,,,,,,,,,,,44.2,,,,,43.4,,,42.9,,,,39.6,,,,34.2,,,,,37.2,,,
Niger,,,,,,,,,,,,,,29.4,,32.5,,,,,,,,,,,36.2,,31.4,,,,26.4,,,27,,,
Nigeria,,,,,,,28.2,,,,,,,31.4,,,,40.7,,,,,,,29.8,,,,,,32.7,,,,,,,,
Norway,,,,,,,,,,,,,,,,,,,,,,,,,23.3,27.1,26.3,21.1,22.2,21.8,21.3,21,20.5,20.8,21.3,21.6,22.3,,
Pakistan,,,,,,,,,27.6,,,27.1,,,,,,25.2,,28.5,,,26.2,,,27.5,28.4,,27.1,,,25.8,26.8,,26,,28.9,,
Palestine,,,,,,,,,,,,,,,,,,,,,,,,,,26.5,26.7,27.1,27.6,,27.4,27.8,27.2,,,,,25.2,
Panama,36,,,,,,,,,,42.9,,42.5,,,,43.2,,44.1,43.4,42.5,43.4,42.8,43.1,42.3,41.4,40.3,41.2,39.9,41.1,40.2,39.8,39.7,39.8,39.6,38.6,39,37.9,
Papua New Guinea,,,,,,,,,,,,,,,,,,40.7,,,,,,,,,,,,,31,,,,,,,,
Paraguay,,,,,,,,,,,,30.7,,,,,46.1,,41.4,,42.1,,43.1,46.2,44.1,42,40.4,42.4,42.5,40.1,38.1,40.5,41.4,36.9,37.3,40.7,36.7,37.3,
Peru,,,,,,,,,,,,,,,,,,,41.2,44.5,44.9,37.1,39.3,42.3,42.6,38.4,38.8,38.3,38.2,35.8,35.5,34.4,33.7,33.5,32.9,32.3,32.8,32.7,
Portugal,,,,,,,,,,,,,,,,,,,,,,,,,30.2,30.8,30.5,29.6,28.8,28.9,27.4,28.2,28.6,27.7,27.5,27.4,27.3,,
Romania,,,,,,,,,,,19.2,,,20.2,,22.7,,,,,,,,,,,,29,27.4,26.5,25.7,25,24.8,25.4,25.4,24.5,24.7,,
Russia,,,,,,,,,,,,,,,38.3,,,35.6,29.4,28.6,27.7,27.6,27.9,28.1,30.3,30.5,31.4,31.3,32.8,32.5,31.1,30.6,31.1,32.2,32.4,31.9,29.7,,
Rwanda,,,,,,24.6,,,,,,,,,,,,,,,,40.8,,,,,43.9,,,,,39.8,,,37.9,,,,
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.1,,,,,,,,,
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,24.5,,,,,,,,,,24.2,,,,,,,
Senegal,,,,,,,,,,,,,42.8,,,33.9,,,,,,,33.4,,,,30,,,,,,31,,,,,,
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.9,,,,
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,26.9,,,,,,
Slovak Republic,,,,,,,,,,,,,,,,,,20.8,,,,,,,,22,24.9,21.8,20.7,21.3,21.8,21.8,20.9,20.5,22.1,20.3,20.9,,
Slovenia,,,,,,,,,,,,,,,24.5,,,,,,,,,,,20.6,20.6,20.3,20.4,20.1,20.6,20.7,20.7,21.1,21.4,21.1,21,,
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,35.7,,,,,,,,29.2,,,,
South Africa,,,,,,,,,,,,,,,46.7,,,47.5,,,,44.9,,,,,54.2,,,51.3,,51.3,,,,50.5,,,
South Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,24.5,,24.2,,23.8,,,,,
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.2,,,,,,,,
Spain,,,,,,,,,,,,,,,,,,,,,,,,,23.9,24.8,24.3,24.9,25.5,25.6,25.9,26,25.9,25.8,25.9,26,26.2,,
Sri Lanka,,,,,,,26.4,,,,,27.5,,,,,29,,,,,,,33.2,,,,32.8,,,29.9,,,32.2,,,,32.9,
St. Lucia,,,,,,,,,,,,,,,,,32.5,,,,,,,,,,,,,,,,,,,,,,
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.7,,,,,,,,
Suriname,,,,,,,,,,,,,,,,,,,,,42.7,,,,,,,,,,,,,,,,,,
Swaziland,,,,,,,,,,,,,,,,49.5,,,,,,44.1,,,,,,,,,40,,,,,,,,
Sweden,,,,,,,,,,,,,,,,,,,,,,,,,20.1,21.1,21,21.1,21.6,22.3,21.4,21.8,21.5,21.6,22.2,22.2,22.9,,
Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,26.7,26.3,25.6,25.4,24.6,25,25.5,25.5,25.2,,
Syria,,,,,,,,,,,,,,,,,,,,,,,,,,28.7,,,,,,,,,,,,,
Tajikistan,,,,,,,,,,,,,,,,,,,,,23.3,,,,25.6,26.6,,,25.1,,24.1,,,,,,26.4,,
Tanzania,,,,,,,,,,,,,27.1,,,,,,,,,28.9,,,,,,,31.9,,,,31,,,,,,
Thailand,,,35.5,,,,,,,35.3,,36.4,,38.6,,34.9,,34.3,,32.3,34.1,33.7,,33.2,,33.8,,32.5,30.8,31.1,30.6,30.7,29.9,30.4,29.2,28.7,28.4,,
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,28.2,,,,,,22.9,,,,,,,24,,,
Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.6,,,,,34.5,,,,31.6,,
Tonga,,,,,,,,,,,,,,,,,,,,,,,28.3,,,,,,,,28.9,,,,,,,,
Trinidad and Tobago,,,,,,,,,,31.1,,,,29.9,,,,,,,,,,,,,,,,,,,,,,,,,
Tunisia,,,,,,,34.1,,,,,30.7,,,,,31.7,,,,,31.6,,,,,29.1,,,,,27,,,,,,,
Turkey,,,,,,,,,35.1,,,,,,,32,,,,,,,,31.9,32.4,30.8,32.8,29.6,28.2,29.4,29.2,29.3,30.5,30.5,30.6,31.6,33.5,32.1,
Turkmenistan,,,,,,,,,,,,,,,,,,,,31.7,,,,,,,,,,,,,,,,,,,
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.7,,,,,,,
Uganda,,,,,,,,,,,33.7,,,33.5,,,,31.3,,,34.9,,,37.5,,,34.5,,,,36.4,,,32.9,,,,34.2,
Ukraine,,,,,,,,,,,,,,22.9,23.2,,30.4,27.6,,,,,,23.2,23.3,23.1,23.2,24.1,22,21.9,21.2,21,20.7,20.8,21.1,20.6,21.6,21.2,
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,27.7,26.1,26.7,27.9,26.3,26.5,26.7,25.3,24.6,25.3,26.1,25.4,,
United States,25.3,,,,,,,26.8,,,,,27.6,,,29.7,,,30.5,,,30.4,,,,30.2,,,30.5,,,29.4,,,30.1,,,30.6,
Uruguay,,,33.3,,,,,,,,32.2,,,,,,,,,,,,,,,,,35,35.5,34.4,34.7,33.7,31.7,29.3,30.2,29.9,29.9,29.7,
Uzbekistan,,,,,,,,,,,,,,,,,,,,32.7,,28.6,,27.4,28.3,,,,,,,,,,,,,,
Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.4,,,,,,,
Venezuela,,,43.4,,,,,,40.8,,33,,,31.7,,,35.8,,,36.5,36.2,,35.7,36.9,36.1,35.7,37.8,34.1,,,,,,,,,,,
Vietnam,,,,,,,,,,,,,,28.6,,,,,,29.1,,,,29.8,,28.8,,27.7,,28,,30.9,,27.7,,26.8,,27.1,
Yemen,,,,,,,,,,,,,,,,,,,,26.8,,,,,,,28.6,,,,,,,,,29.4,,,
Zambia,,,,,,,,,,,,,42.9,,39.3,,,37.3,,38.2,,,,33.7,,42.7,,43.2,,,,45.2,,,,,44.4,,
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.8,,,,,,
